metro,metname,year,metmedfinc,conum,trnum,gisjoin2,gisjoin3,totfam,medfinc,medfincratio,medcat,gisjoin2_mod
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017334200,25001703342,2.50E+12,1071,94563,1.273,5,2500170334200
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017334300,25001703343,2.50E+12,2129,94855,1.277,5,2500170334300
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017334400,25001703344,2.50E+12,1767,76583,1.031,4,2500170334400
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017335100,25001703351,2.50E+12,1581,86458,1.164,4,2500170335100
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017335200,25001703352,2.50E+12,1570,79217,1.066,4,2500170335200
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017335300,25001703353,2.50E+12,2155,72248,0.973,3,2500170335300
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017335400,25001703354,2.50E+12,1337,80581,1.085,4,2500170335400
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017336100,25001703361,2.50E+12,1469,79539,1.071,4,2500170336100
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017336200,25001703362,2.50E+12,1714,88327,1.189,4,2500170336200
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017336300,25001703363,2.50E+12,1895,76378,1.028,4,2500170336300
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017336401,2.50E+12,2.50E+12,935,66825,0.9,3,2500170336401
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017336402,2.50E+12,2.50E+12,1088,77254,1.04,4,2500170336402
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017337101,2.50E+12,2.50E+12,838,68981,0.929,3,2500170337101
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017337102,2.50E+12,2.50E+12,1428,76682,1.032,4,2500170337102
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017337201,2.50E+12,2.50E+12,845,75599,1.018,4,2500170337201
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017337202,2.50E+12,2.50E+12,1372,66786,0.899,3,2500170337202
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017337300,25001703373,2.50E+12,1397,64255,0.865,3,2500170337300
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017338100,25001703381,2.50E+12,821,88579,1.192,4,2500170338100
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017338200,25001703382,2.50E+12,904,74412,1.002,4,2500170338200
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017338300,25001703383,2.50E+12,831,122632,1.651,6,2500170338300
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017338400,25001703384,2.50E+12,1710,142536,1.919,6,2500170338400
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017338500,25001703385,2.50E+12,1565,119882,1.614,6,2500170338500
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017339100,25001703391,2.50E+12,1636,73793,0.993,3,2500170339100
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017339200,25001703392,2.50E+12,1569,78735,1.06,4,2500170339200
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017339300,25001703393,2.50E+12,686,71532,0.963,3,2500170339300
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017339400,25001703394,2.50E+12,763,56367,0.759,2,2500170339400
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017339500,25001703395,2.50E+12,1005,63598,0.856,3,2500170339500
15764,"Cambridge-Newton-Framingham, MA",2000,74290,25017,25017339600,25001703396,2.50E+12,1193,61516,0.828,3,2500170339600
