metro,metname,year,metmedfinc,conum,trnum,gisjoin2,gisjoin3,totfam,medfinc,medfincratio,medcat,gisjoin_mod
14484,"Boston-Quincy, MA",1980,21235,25021,25021456402,2.50E+12,2.50E+12,1183,26351,1.241,4,2500210456402
14484,"Boston-Quincy, MA",1980,21235,25021,25021457100,25002104571,2.50E+12,1294,22244,1.047,4,25002104571
14484,"Boston-Quincy, MA",1980,21235,25023,25023500101,2.50E+12,2.50E+12,973,21089,0.993,3,2500230500101
14484,"Boston-Quincy, MA",1980,21235,25023,25023500102,2.50E+12,2.50E+12,1468,18548,0.873,3,2500230500102
14484,"Boston-Quincy, MA",1980,21235,25023,25023501101,2.50E+12,2.50E+12,943,27880,1.313,5,2500230501101
14484,"Boston-Quincy, MA",1980,21235,25023,25023501102,2.50E+12,2.50E+12,1810,26105,1.229,4,2500230501102
14484,"Boston-Quincy, MA",1980,21235,25023,25023501200,25002305012,2.50E+12,2505,34210,1.611,6,25002305012
14484,"Boston-Quincy, MA",1980,21235,25023,25023502100,25002305021,2.50E+12,2606,19239,0.906,3,25002305021
14484,"Boston-Quincy, MA",1980,21235,25023,25023502200,25002305022,2.50E+12,1277,20535,0.967,3,25002305022
14484,"Boston-Quincy, MA",1980,21235,25023,25023503100,25002305031,2.50E+12,2846,27034,1.273,5,25002305031
14484,"Boston-Quincy, MA",1980,21235,25023,25023504100,25002305041,2.50E+12,2414,30112,1.418,5,25002305041
14484,"Boston-Quincy, MA",1980,21235,25023,25023505101,2.50E+12,2.50E+12,1753,27065,1.275,5,2500230505101
14484,"Boston-Quincy, MA",1980,21235,25023,25023505102,2.50E+12,2.50E+12,1202,30848,1.453,5,2500230505102
14484,"Boston-Quincy, MA",1980,21235,25023,25023505200,25002305052,2.50E+12,1590,27375,1.289,5,25002305052
14484,"Boston-Quincy, MA",1980,21235,25023,25023506101,2.50E+12,2.50E+12,1395,27231,1.282,5,2500230506101
14484,"Boston-Quincy, MA",1980,21235,25023,25023506102,2.50E+12,2.50E+12,1157,24330,1.146,4,2500230506102
14484,"Boston-Quincy, MA",1980,21235,25023,25023506201,2.50E+12,2.50E+12,2332,20813,0.98,3,2500230506201
14484,"Boston-Quincy, MA",1980,21235,25023,25023506202,2.50E+12,2.50E+12,566,29952,1.41,5,2500230506202
14484,"Boston-Quincy, MA",1980,21235,25023,25023507100,25002305071,2.50E+12,3188,30333,1.428,5,25002305071
14484,"Boston-Quincy, MA",1980,21235,25023,25023508101,2.50E+12,2.50E+12,1057,23279,1.096,4,2500230508101
14484,"Boston-Quincy, MA",1980,21235,25023,25023508102,2.50E+12,2.50E+12,1285,20029,0.943,3,2500230508102
14484,"Boston-Quincy, MA",1980,21235,25023,25023508200,25002305082,2.50E+12,1153,22946,1.081,4,25002305082
14484,"Boston-Quincy, MA",1980,21235,25023,25023509100,25002305091,2.50E+12,1967,21239,1,4,25002305091
14484,"Boston-Quincy, MA",1980,21235,25023,25023510100,25002305101,2.50E+12,1478,21489,1.012,4,25002305101
14484,"Boston-Quincy, MA",1980,21235,25023,25023510200,25002305102,2.50E+12,1531,20707,0.975,3,25002305102
14484,"Boston-Quincy, MA",1980,21235,25023,25023510300,25002305103,2.50E+12,862,13633,0.642,1,25002305103
14484,"Boston-Quincy, MA",1980,21235,25023,25023510400,25002305104,2.50E+12,915,12164,0.573,1,25002305104
14484,"Boston-Quincy, MA",1980,21235,25023,25023510501,2.50E+12,2.50E+12,903,20267,0.954,3,2500230510501
14484,"Boston-Quincy, MA",1980,21235,25023,25023510502,2.50E+12,2.50E+12,1458,16756,0.789,2,2500230510502
14484,"Boston-Quincy, MA",1980,21235,25023,25023510503,2.50E+12,2.50E+12,1113,16743,0.788,2,2500230510503
14484,"Boston-Quincy, MA",1980,21235,25023,25023510600,25002305106,2.50E+12,822,23379,1.101,4,25002305106
14484,"Boston-Quincy, MA",1980,21235,25023,25023510700,25002305107,2.50E+12,1514,20352,0.958,3,25002305107
14484,"Boston-Quincy, MA",1980,21235,25023,25023510800,25002305108,2.50E+12,1376,13972,0.658,1,25002305108
14484,"Boston-Quincy, MA",1980,21235,25023,25023510900,25002305109,2.50E+12,457,7516,0.354,1,25002305109
14484,"Boston-Quincy, MA",1980,21235,25023,25023511000,25002305110,2.50E+12,608,14167,0.667,2,25002305110
14484,"Boston-Quincy, MA",1980,21235,25023,25023511100,25002305111,2.50E+12,1630,20778,0.978,3,25002305111
14484,"Boston-Quincy, MA",1980,21235,25023,25023511200,25002305112,2.50E+12,1116,17969,0.846,3,25002305112
14484,"Boston-Quincy, MA",1980,21235,25023,25023511301,2.50E+12,2.50E+12,1225,17356,0.817,3,2500230511301
14484,"Boston-Quincy, MA",1980,21235,25023,25023511302,2.50E+12,2.50E+12,1031,19904,0.937,3,2500230511302
14484,"Boston-Quincy, MA",1980,21235,25023,25023511400,25002305114,2.50E+12,874,13817,0.651,1,25002305114
14484,"Boston-Quincy, MA",1980,21235,25023,25023511500,25002305115,2.50E+12,1081,16113,0.759,2,25002305115
14484,"Boston-Quincy, MA",1980,21235,25023,25023511600,25002305116,2.50E+12,1668,18493,0.871,3,25002305116
14484,"Boston-Quincy, MA",1980,21235,25023,25023511701,2.50E+12,2.50E+12,1327,25129,1.183,4,2500230511701
14484,"Boston-Quincy, MA",1980,21235,25023,25023511702,2.50E+12,2.50E+12,777,23327,1.098,4,2500230511702
14484,"Boston-Quincy, MA",1980,21235,25023,25023520100,25002305201,2.50E+12,1566,22216,1.046,4,25002305201
14484,"Boston-Quincy, MA",1980,21235,25023,25023520201,2.50E+12,2.50E+12,968,21930,1.033,4,2500230520201
14484,"Boston-Quincy, MA",1980,21235,25023,25023520202,2.50E+12,2.50E+12,811,23931,1.127,4,2500230520202
14484,"Boston-Quincy, MA",1980,21235,25023,25023521101,2.50E+12,2.50E+12,947,21889,1.031,4,2500230521101
14484,"Boston-Quincy, MA",1980,21235,25023,25023521102,2.50E+12,2.50E+12,806,19916,0.938,3,2500230521102
14484,"Boston-Quincy, MA",1980,21235,25023,25023521201,2.50E+12,2.50E+12,736,20062,0.945,3,2500230521201
14484,"Boston-Quincy, MA",1980,21235,25023,25023521202,2.50E+12,2.50E+12,944,21628,1.018,4,2500230521202
14484,"Boston-Quincy, MA",1980,21235,25023,25023522101,2.50E+12,2.50E+12,1035,21801,1.027,4,2500230522101
14484,"Boston-Quincy, MA",1980,21235,25023,25023522102,2.50E+12,2.50E+12,1176,21549,1.015,4,2500230522102
